TMC,Severity,Start_Lng,Start_Lat,Distance(mi),Temperature(F),Humidity(%),Visibility(mi)
245.0,3.0,-84.577347,33.546177,0.01,63.0,97.0,3.0
201.0,3.0,-84.527321,33.766376,0.01,63.0,90.0,3.0
229.0,3.0,-84.493134,33.786896,0.01,63.0,90.0,2.5
201.0,2.0,-84.418266,33.697849,0.01,63.0,97.0,9.0
201.0,3.0,-84.404984,33.696915000000004,0.01,63.0,97.0,10.0
229.0,3.0,-84.393692,33.796211,0.01,63.0,90.0,10.0
229.0,3.0,-84.391472,33.791683,0.01,63.0,90.0,10.0
201.0,2.0,-84.390968,33.751411,0.01,63.0,90.0,10.0
229.0,3.0,-84.390869,33.781532,0.01,63.0,90.0,3.0
229.0,3.0,-84.390472,33.77129,0.01,63.0,90.0,2.5
201.0,3.0,-84.390343,33.744976,0.01,63.0,97.0,9.0
229.0,2.0,-84.36927,33.839458,0.01,63.0,90.0,10.0
229.0,2.0,-84.36752299999998,33.821323,0.01,71.6,73.0,10.0
229.0,2.0,-84.361008,33.851852,0.01,63.0,90.0,10.0
229.0,3.0,-84.359383,33.821548,1.43,62.1,93.0,5.0
229.0,3.0,-84.349213,33.745556,0.01,63.0,97.0,10.0
201.0,3.0,-84.338135,33.917973,0.01,63.0,93.0,1.0
201.0,3.0,-84.30413100000001,33.633163,0.01,63.0,97.0,10.0
201.0,3.0,-84.272316,33.713703,0.01,63.0,93.0,2.0
229.0,3.0,-84.252602,33.827091,0.01,62.1,93.0,5.0
201.0,3.0,-84.230675,33.737194,0.01,63.0,90.0,10.0
201.0,2.0,-84.05986,33.926807000000004,0.01,62.6,88.0,3.0
229.0,2.0,-83.857033,34.298798,0.01,62.1,96.0,6.0
201.0,2.0,-82.05632800000002,33.513977000000004,0.01,77.0,54.0,10.0
229.0,2.0,-82.04118299999998,33.427788,0.41,78.1,62.0,10.0
201.0,2.0,-84.418266,33.697849,0.01,63.0,97.0,9.0
203.0,2.0,-84.569397,33.407112,0.01,63.0,97.0,7.0
222.0,3.0,-84.41757199999998,33.741446999999994,0.01,62.6,100.0,8.0
229.0,3.0,-84.159424,33.936508,0.01,62.6,94.0,3.0
229.0,3.0,-84.414047,33.741333000000004,0.01,63.0,97.0,10.0
201.0,3.0,-84.527321,33.766376,0.01,64.0,84.0,10.0
201.0,2.0,-84.422287,33.7756,0.0,64.0,84.0,10.0
201.0,2.0,-81.96243299999998,33.465961,0.01,69.1,84.0,1.8
222.0,3.0,-84.468964,33.757103,0.01,62.1,78.0,10.0
229.0,3.0,-84.390511,33.769001,0.01,62.1,78.0,10.0
229.0,2.0,-84.369759,33.773834,0.01,62.1,78.0,10.0
241.0,3.0,-84.170181,33.70348,0.01,59.0,83.0,10.0
229.0,3.0,-84.379715,33.760628000000004,0.01,59.0,72.0,10.0
201.0,3.0,-84.809128,33.231266,0.01,43.2,91.0,10.0
201.0,2.0,-81.95591,33.249737,0.01,55.0,77.0,10.0
201.0,3.0,-84.398689,33.681126,0.01,42.1,85.0,10.0
241.0,3.0,-84.3787,33.754379,0.01,41.0,82.0,10.0
241.0,2.0,-84.34164399999997,33.982327000000005,0.01,43.0,76.0,10.0
241.0,3.0,-84.519745,33.961693,0.01,39.4,85.0,10.0
241.0,2.0,-83.926476,33.98304,0.01,42.8,76.0,10.0
201.0,3.0,-84.387733,33.744240000000005,0.01,41.0,89.0,10.0
241.0,3.0,-84.230499,33.506004,0.01,41.0,89.0,10.0
201.0,2.0,-84.40748599999998,33.781254,0.01,42.1,79.0,10.0
241.0,2.0,-84.285728,34.054295,0.01,42.1,79.0,10.0
201.0,2.0,-82.006721,33.447948,0.01,50.0,66.0,10.0
201.0,2.0,-84.448212,33.823555,0.01,42.1,79.0,10.0
241.0,3.0,-84.26616700000002,33.699013,0.01,41.0,89.0,10.0
241.0,3.0,-84.217415,33.711597,0.01,41.0,89.0,10.0
201.0,2.0,-82.023933,33.521893,0.01,50.0,66.0,10.0
241.0,3.0,-84.413338,33.805141,0.01,42.1,79.0,10.0
201.0,3.0,-84.328239,33.739838,0.01,41.0,89.0,10.0
201.0,2.0,-82.066856,33.469376000000004,0.01,50.0,66.0,10.0
201.0,2.0,-82.005264,33.394333,0.0,50.0,74.0,10.0
201.0,2.0,-82.008163,33.458031,0.01,50.0,66.0,10.0
201.0,2.0,-84.40786700000002,33.754696,0.01,44.1,73.0,10.0
201.0,2.0,-84.311897,34.066124,0.01,45.0,68.0,10.0
201.0,3.0,-84.490776,34.215233000000005,0.01,42.8,57.0,10.0
201.0,2.0,-83.954903,33.969086,0.01,44.6,66.0,10.0
201.0,2.0,-84.37838,33.7854,0.01,44.1,73.0,10.0
241.0,3.0,-84.394592,33.722115,0.01,45.0,76.0,10.0
201.0,2.0,-84.39035,33.816216,0.01,44.1,73.0,10.0
201.0,2.0,-84.39921600000002,33.808823,0.01,44.1,73.0,10.0
202.0,2.0,-81.958939,33.473015000000004,0.0,51.1,59.0,10.0
201.0,2.0,-84.48571,33.802215999999994,0.01,48.0,63.0,10.0
202.0,2.0,-81.968834,33.455582,0.01,54.0,51.0,10.0
201.0,2.0,-82.020401,33.470603999999994,0.0,54.0,51.0,10.0
247.0,3.0,-84.479675,33.864307000000004,0.01,46.9,63.0,10.0
241.0,2.0,-84.34164399999997,33.982327000000005,0.01,48.0,58.0,10.0
241.0,3.0,-84.489685,33.825253000000004,0.01,49.3,51.0,10.0
201.0,2.0,-84.362961,33.842838,0.0,50.0,46.0,10.0
201.0,2.0,-84.389763,33.754311,0.01,51.1,48.0,10.0
201.0,2.0,-81.982353,33.460857,0.0,57.0,42.0,10.0
201.0,2.0,-84.36996500000002,33.851906,0.01,52.0,43.0,10.0
201.0,3.0,-84.594215,34.053978,0.01,50.0,43.0,10.0
201.0,3.0,-84.381516,33.762119,0.01,53.1,41.0,10.0
201.0,3.0,-84.26616700000002,33.699013,0.01,55.0,38.0,10.0
